ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,CREATED_AT
8758,vésAlavés,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
8819,Almería,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
8988,Athletic Club,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
6798,Atlético Madrid,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
2971,Barcelona,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
9719,Celta Vigo,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
3508,Cádiz,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
9759,Getafe,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
9506,Girona,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
8243,Granada,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
1101,Las Palmas,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
4641,Mallorca,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
1215,Osasuna,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
9135,Rayo Vallecano,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
5523,Real Betis,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
8704,Real Madrid,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
5844,Real Sociedad,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
6542,Sevilla FC,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
6478,Valencia,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
4281,Villarreal,0,0,0,0,0,0,0,0,ESPAÑA,2023-07-19
2182,Arsenal,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
5786,Aston Villa,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
5312,AFC Bournemouth,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
6964,Brentford,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
9412,Brighton & Hove Albion,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
7601,Burnley,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
3102,Chelsea,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
3674,Crystal Palace,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
4808,Everton,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
7439,Fulham,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
1042,Liverpool,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
6437,Luton Town,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
9239,Manchester City,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
8829,Manchester United,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
9576,Newcastle United,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
4360,Nottingham Forest,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
5795,ff UtdSheffield United,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
1458,Tottenham Hotspur,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
4233,West Ham United,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
7443,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,INGLATERRA,2023-07-19
9750,Atalanta,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
5069,Bolonia,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
5948,Cagliari,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4187,Empoli,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4091,Fiorentina,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
2956,Frosinone,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
1654,Génova,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
1317,Internazionale,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
9371,Juventus,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
6190,Lazio,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
6812,Lecce,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
9367,AC Milan,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
9797,Monza,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
3348,Napoli,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4666,AS Roma,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
5437,Salernitana,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4002,Sassuolo,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4733,Torino,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
4634,Udinese,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
6005,Hellas Verona,0,0,0,0,0,0,0,0,ITALIA,2023-07-19
2268,Brest,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
8687,rmontClermont Foot,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
9907,Havre ACLe Havre AC,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
1583,Lens,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
9173,LLille,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
2436,Lorient,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
4656,NLyon,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
5272,Marseille,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
3113,Metz,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
8913,AS Mónaco,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
1612,Montpellier,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
4089,Nantes,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
2017,ENice,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
6741,Paris Saint-Germain,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
5498,MStade de Reims,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
5666,Stade Rennais,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
2898,Strasbourg,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
4331,Toulouse,0,0,0,0,0,0,0,0,FRANCIA,2023-07-19
1575,Arouca,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
1722,Benfica,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
4713,Boavista,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
9737,Casa Pia,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
7929,GD Chaves,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
1627,Estoril,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
1633,Estrela,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
2360,FC Famalicao,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
8247,FC Porto,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
5169,CGil Vicente,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
9495,Moreirense,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
